nameCommon,nameVariable,category,categoryID,type,targetInitial,targetMin,targetMax,includeApp,includeJust,justification,wsClass
Epipelagic,epipelagic,Water Depth,Depth,Feature,15,0,85,FALSE,TRUE,This feature is important because,NA
Mesopelagic,mesopelagic,Water Depth,Depth,Feature,50,0,85,FALSE,TRUE,This feature is important because,NA
Bathypelagic,bathypelagic,Water Depth,Depth,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Abyssopelagic,abyssopelagic,Water Depth,Depth,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Hadopelagic,hadopelagic,Water Depth,Depth,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Basins Large Basins Of Seas And Oceans,Large_basins_of_seas_and_oceans,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Basins Major Ocean Basins,Major_ocean_basins,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Basins Small Basins Of Seas And Oceans,Small_basins_of_seas_and_oceans,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Bridges,bridges,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,FALSE,This feature is important because,NA
Canyons Blind,Canyons_blind,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Canyons Shelf Incising,Canyons_shelf_incising,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,FALSE,This feature is important because,NA
Escarpments,Escarpments,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Guyots,Guyots,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Plateaus,Plateaus,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Ridges,Ridges,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Rift Valleys,Rift_valleys,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Spreading Ridges,Spreading_ridges,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Terraces,Terraces,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Trenches,Trenches,Geomorphology,GeoMorph,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Troughs,Troughs,Geomorphology,GeoMorph,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Knolls,knolls,Knolls,Knolls,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Seamounts,seamounts,Seamounts,Seamounts,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Antipatharia,antipatharia_coral,Corals,Corals,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Cold Corals,cold_coral,Corals,Corals,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Octocoral,octocoral,Corals,Corals,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Environmental Region 1,enviro_region_1,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Environmental Region 2,enviro_region_2,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Environmental Region 3,enviro_region_3,Environmental Region,EnviroReg,Feature,30,0,85,TRUE,TRUE,This feature is important because,NA
Environmental Region 4,enviro_region_4,Environmental Region,EnviroReg,Feature,30,0,85,FALSE,TRUE,This feature is important because,NA
Cost None,Cost_None,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important because,NA
Cost Random,Cost_Random,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important because,NA
Cost Distance,Cost_Distance,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important because,NA
Cost Fishing Hrs,Cost_FishingHrs,Cost,Cost,Cost,30,0,85,TRUE,TRUE,This cost is important because,NA
MPAs,MPAs,Locked In Area,LockedInArea,Constraint,0,0,85,FALSE,TRUE,This constraint is important because,NA